index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
162,northeast,"[3, 5, 7, 9, 11, 13]","{3: 1, 5: 1, 7: 1, 9: 1, 11: 1, 13: 8}",6,13,9,1.4444444444444444
163,of,"[14, 16, 18, 20, 22, 24, 26]","{14: 1, 16: 1, 18: 1, 20: 1, 22: 1, 24: 1, 26: 1}",7,7,2,3.5
164,Santa,[],{},0,0,5,0.0
165,Cruz,[],{},0,0,4,0.0
166,and,[],{},0,0,3,0.0
167,75,[],{},0,0,2,0.0
168,miles,[],{},0,0,5,0.0
169,south,[],{},0,0,5,0.0
170,of,[],{},0,0,2,0.0
171,San,[],{},0,0,3,0.0
172,Francisco.,[],{},0,0,10,0.0
173,The,[],{},0,0,3,0.0
174,1985,[],{},0,0,4,0.0
175,"study,",[],{},0,0,6,0.0
176,by,[],{},0,0,2,0.0
177,Columbia,[],{},0,0,8,0.0
178,University,[],{},0,0,10,0.0
179,geology,[],{},0,0,7,0.0
180,professor,[],{},0,0,9,0.0
181,Christopher,[],{},0,0,11,0.0
182,"Scholz,",[],{},0,0,7,0.0
183,was,[],{},0,0,3,0.0
184,among,"[15, 17, 19, 21, 23, 25, 27]","{15: 1, 17: 1, 19: 1, 21: 1, 23: 1, 25: 1, 27: 1}",7,7,5,1.4
185,several,[28],{28: 11},1,11,7,1.5714285714285714
186,that,[],{},0,0,4,0.0
187,produced,[],{},0,0,8,0.0
188,conflicting,[],{},0,0,11,0.0
189,estimates,[],{},0,0,9,0.0
190,on,[],{},0,0,2,0.0
191,the,[],{},0,0,3,0.0
192,likelihood,[],{},0,0,10,0.0
193,and,[],{},0,0,3,0.0
194,size,[],{},0,0,4,0.0
195,of,[],{},0,0,2,0.0
196,the,[],{},0,0,3,0.0
197,quake,[],{},0,0,5,0.0
198,that,[],{},0,0,4,0.0
199,finally,[],{},0,0,7,0.0
200,happened,[],{},0,0,8,0.0
201,Tuesday.,[],{},0,0,8,0.0
202,These,[],{},0,0,5,0.0
203,studies,[],{},0,0,7,0.0
204,gave,[],{},0,0,4,0.0
205,various,[],{},0,0,7,0.0
206,interpretations,[29],{29: 20},1,20,15,1.3333333333333333
207,of,[],{},0,0,2,0.0
208,how,[],{},0,0,3,0.0
209,much,[],{},0,0,4,0.0
210,stress,[],{},0,0,6,0.0
211,inside,[],{},0,0,6,0.0
212,the,[],{},0,0,3,0.0
213,Earth,[],{},0,0,5,0.0
214,was,[],{},0,0,3,0.0
215,released,[],{},0,0,8,0.0
216,by,[],{},0,0,2,0.0
217,the,[],{},0,0,3,0.0
218,great,[],{},0,0,5,0.0
219,San,[],{},0,0,3,0.0
220,Francisco,[],{},0,0,9,0.0
221,earthquake,[],{},0,0,10,0.0
222,of,[],{},0,0,2,0.0
223,"1906,",[],{},0,0,5,0.0
224,which,[],{},0,0,5,0.0
225,had,[],{},0,0,3,0.0
226,a,[],{},0,0,1,0.0
227,magnitude,[],{},0,0,9,0.0
228,of,[],{},0,0,2,0.0
229,about,[],{},0,0,5,0.0
230,8.3,[],{},0,0,3,0.0
231,and,[],{},0,0,3,0.0
232,killed,[30],{30: 27},1,27,6,4.5
233,at,"[31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71]","{31: 22, 33: 1, 35: 1, 37: 1, 39: 1, 41: 1, 43: 1, 45: 1, 47: 1, 49: 1, 51: 1, 53: 1, 55: 1, 57: 1, 59: 1, 61: 1, 63: 1, 65: 1, 67: 1, 69: 1, 71: 1}",21,42,2,21.0
234,least,"[73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95]","{73: 1, 75: 1, 77: 1, 79: 1, 81: 1, 83: 1, 85: 1, 87: 1, 89: 1, 91: 1, 93: 1, 95: 1}",12,12,5,2.4
235,"2,500",[],{},0,0,5,0.0
236,people.,[],{},0,0,7,0.0
237,The,[],{},0,0,3,0.0
238,bigger,[],{},0,0,6,0.0
239,a,[],{},0,0,1,0.0
240,"quake,",[],{},0,0,6,0.0
241,the,[],{},0,0,3,0.0
242,more,[],{},0,0,4,0.0
243,stress,[],{},0,0,6,0.0
244,it,[],{},0,0,2,0.0
